03-31 03:47:01: Training starting...

Starting run 1/5.
Run 1 | Ep 100 | Steps 2332/1000000 | Epsilon 0.99 | Last score: 27.0
Run 1 | Ep 200 | Steps 4365/1000000 | Epsilon 0.98 | Last score: 11.0
Run 1 | Ep 300 | Steps 6406/1000000 | Epsilon 0.97 | Last score: 10.0
Run 1 | Ep 400 | Steps 8510/1000000 | Epsilon 0.96 | Last score: 24.0
Run 1 | Ep 500 | Steps 10760/1000000 | Epsilon 0.95 | Last score: 25.0
Run 1 | Ep 600 | Steps 13030/1000000 | Epsilon 0.94 | Last score: 11.0
Run 1 | Ep 700 | Steps 14969/1000000 | Epsilon 0.93 | Last score: 15.0
Run 1 | Ep 800 | Steps 17060/1000000 | Epsilon 0.92 | Last score: 30.0
Run 1 | Ep 900 | Steps 19371/1000000 | Epsilon 0.90 | Last score: 17.0
Run 1 | Ep 1000 | Steps 21507/1000000 | Epsilon 0.89 | Last score: 27.0
Run 1 | Ep 1100 | Steps 23549/1000000 | Epsilon 0.88 | Last score: 30.0
Run 1 | Ep 1200 | Steps 25733/1000000 | Epsilon 0.87 | Last score: 51.0
Run 1 | Ep 1300 | Steps 27798/1000000 | Epsilon 0.86 | Last score: 10.0
Run 1 | Ep 1400 | Steps 29937/1000000 | Epsilon 0.85 | Last score: 14.0
Run 1 | Ep 1500 | Steps 31976/1000000 | Epsilon 0.84 | Last score: 12.0
Run 1 | Ep 1600 | Steps 33978/1000000 | Epsilon 0.83 | Last score: 11.0
Run 1 | Ep 1700 | Steps 35818/1000000 | Epsilon 0.82 | Last score: 13.0
Run 1 | Ep 1800 | Steps 37809/1000000 | Epsilon 0.81 | Last score: 14.0
Run 1 | Ep 1900 | Steps 39853/1000000 | Epsilon 0.80 | Last score: 13.0
Run 1 | Ep 2000 | Steps 41806/1000000 | Epsilon 0.79 | Last score: 21.0
Run 1 | Ep 2100 | Steps 43805/1000000 | Epsilon 0.78 | Last score: 25.0
Run 1 | Ep 2200 | Steps 45580/1000000 | Epsilon 0.77 | Last score: 9.0
Run 1 | Ep 2300 | Steps 47456/1000000 | Epsilon 0.77 | Last score: 20.0
Run 1 | Ep 2400 | Steps 49323/1000000 | Epsilon 0.76 | Last score: 20.0
Run 1 | Ep 2500 | Steps 51103/1000000 | Epsilon 0.75 | Last score: 23.0
Run 1 | Ep 2600 | Steps 52864/1000000 | Epsilon 0.74 | Last score: 11.0
Run 1 | Ep 2700 | Steps 54566/1000000 | Epsilon 0.73 | Last score: 31.0
Run 1 | Ep 2800 | Steps 56209/1000000 | Epsilon 0.72 | Last score: 16.0
Run 1 | Ep 2900 | Steps 57870/1000000 | Epsilon 0.71 | Last score: 13.0
Run 1 | Ep 3000 | Steps 59735/1000000 | Epsilon 0.70 | Last score: 22.0
Run 1 | Ep 3100 | Steps 61508/1000000 | Epsilon 0.70 | Last score: 13.0
Run 1 | Ep 3200 | Steps 63198/1000000 | Epsilon 0.69 | Last score: 13.0
Run 1 | Ep 3300 | Steps 64922/1000000 | Epsilon 0.68 | Last score: 15.0
Run 1 | Ep 3400 | Steps 66671/1000000 | Epsilon 0.67 | Last score: 20.0
Run 1 | Ep 3500 | Steps 68312/1000000 | Epsilon 0.66 | Last score: 29.0
Run 1 | Ep 3600 | Steps 70037/1000000 | Epsilon 0.65 | Last score: 15.0
Run 1 | Ep 3700 | Steps 71655/1000000 | Epsilon 0.65 | Last score: 15.0
Run 1 | Ep 3800 | Steps 73406/1000000 | Epsilon 0.64 | Last score: 15.0
Run 1 | Ep 3900 | Steps 74948/1000000 | Epsilon 0.63 | Last score: 8.0
Run 1 | Ep 4000 | Steps 76549/1000000 | Epsilon 0.62 | Last score: 13.0
Run 1 | Ep 4100 | Steps 78172/1000000 | Epsilon 0.61 | Last score: 10.0
Run 1 | Ep 4200 | Steps 79775/1000000 | Epsilon 0.61 | Last score: 22.0
Run 1 | Ep 4300 | Steps 81319/1000000 | Epsilon 0.60 | Last score: 11.0
Run 1 | Ep 4400 | Steps 82878/1000000 | Epsilon 0.59 | Last score: 9.0
Run 1 | Ep 4500 | Steps 84444/1000000 | Epsilon 0.58 | Last score: 10.0
Run 1 | Ep 4600 | Steps 86015/1000000 | Epsilon 0.57 | Last score: 12.0
Run 1 | Ep 4700 | Steps 87549/1000000 | Epsilon 0.57 | Last score: 22.0
Run 1 | Ep 4800 | Steps 89122/1000000 | Epsilon 0.56 | Last score: 11.0
Run 1 | Ep 4900 | Steps 90675/1000000 | Epsilon 0.55 | Last score: 10.0
Run 1 | Ep 5000 | Steps 92087/1000000 | Epsilon 0.54 | Last score: 25.0
Run 1 | Ep 5100 | Steps 93569/1000000 | Epsilon 0.54 | Last score: 13.0
Run 1 | Ep 5200 | Steps 95018/1000000 | Epsilon 0.53 | Last score: 10.0
Run 1 | Ep 5300 | Steps 96432/1000000 | Epsilon 0.52 | Last score: 17.0
Run 1 | Ep 5400 | Steps 97871/1000000 | Epsilon 0.52 | Last score: 9.0
Run 1 | Ep 5500 | Steps 99325/1000000 | Epsilon 0.51 | Last score: 29.0
Run 1 | Ep 5600 | Steps 100768/1000000 | Epsilon 0.50 | Last score: 10.0
Run 1 | Ep 5700 | Steps 102139/1000000 | Epsilon 0.49 | Last score: 10.0
Run 1 | Ep 5800 | Steps 103511/1000000 | Epsilon 0.49 | Last score: 13.0
Run 1 | Ep 5900 | Steps 104831/1000000 | Epsilon 0.48 | Last score: 10.0
Run 1 | Ep 6000 | Steps 106192/1000000 | Epsilon 0.47 | Last score: 10.0
Run 1 | Ep 6100 | Steps 107521/1000000 | Epsilon 0.47 | Last score: 12.0
Run 1 | Ep 6200 | Steps 108961/1000000 | Epsilon 0.46 | Last score: 12.0
