03-31 06:03:27: Training starting...

Starting run 1/5.
Run 1 | Ep 100 | Steps 2247/1000000 | Epsilon 0.99 | Last score: 13.0
Run 1 | Ep 200 | Steps 4403/1000000 | Epsilon 0.99 | Last score: 23.0
Run 1 | Ep 300 | Steps 6622/1000000 | Epsilon 0.98 | Last score: 11.0
Run 1 | Ep 400 | Steps 8882/1000000 | Epsilon 0.98 | Last score: 13.0
Run 1 | Ep 500 | Steps 10953/1000000 | Epsilon 0.97 | Last score: 24.0
Run 1 | Ep 600 | Steps 13259/1000000 | Epsilon 0.97 | Last score: 28.0
Run 1 | Ep 700 | Steps 15486/1000000 | Epsilon 0.96 | Last score: 13.0
Run 1 | Ep 800 | Steps 17684/1000000 | Epsilon 0.96 | Last score: 15.0
Run 1 | Ep 900 | Steps 20297/1000000 | Epsilon 0.95 | Last score: 37.0
Run 1 | Ep 1000 | Steps 22604/1000000 | Epsilon 0.95 | Last score: 44.0
Run 1 | Ep 1100 | Steps 24786/1000000 | Epsilon 0.94 | Last score: 12.0
Run 1 | Ep 1200 | Steps 26896/1000000 | Epsilon 0.94 | Last score: 17.0
Run 1 | Ep 1300 | Steps 29335/1000000 | Epsilon 0.93 | Last score: 65.0
Run 1 | Ep 1400 | Steps 31502/1000000 | Epsilon 0.93 | Last score: 14.0
Run 1 | Ep 1500 | Steps 33706/1000000 | Epsilon 0.92 | Last score: 13.0
Run 1 | Ep 1600 | Steps 35918/1000000 | Epsilon 0.91 | Last score: 21.0
Run 1 | Ep 1700 | Steps 38100/1000000 | Epsilon 0.91 | Last score: 27.0
Run 1 | Ep 1800 | Steps 40315/1000000 | Epsilon 0.90 | Last score: 29.0
Run 1 | Ep 1900 | Steps 42508/1000000 | Epsilon 0.90 | Last score: 22.0
Run 1 | Ep 2000 | Steps 44728/1000000 | Epsilon 0.89 | Last score: 14.0
Run 1 | Ep 2100 | Steps 46701/1000000 | Epsilon 0.89 | Last score: 16.0
Run 1 | Ep 2200 | Steps 48870/1000000 | Epsilon 0.88 | Last score: 17.0
Run 1 | Ep 2300 | Steps 50837/1000000 | Epsilon 0.88 | Last score: 10.0
Run 1 | Ep 2400 | Steps 53042/1000000 | Epsilon 0.87 | Last score: 12.0
Run 1 | Ep 2500 | Steps 55314/1000000 | Epsilon 0.87 | Last score: 38.0
Run 1 | Ep 2600 | Steps 57277/1000000 | Epsilon 0.86 | Last score: 10.0
Run 1 | Ep 2700 | Steps 59458/1000000 | Epsilon 0.86 | Last score: 35.0
Run 1 | Ep 2800 | Steps 61526/1000000 | Epsilon 0.85 | Last score: 27.0
Run 1 | Ep 2900 | Steps 63531/1000000 | Epsilon 0.85 | Last score: 19.0
Run 1 | Ep 3000 | Steps 65625/1000000 | Epsilon 0.84 | Last score: 17.0
