03-31 05:49:19: Training starting...

Starting run 1/5.
Run 1 | Ep 100 | Steps 1486/1000000 | Epsilon 0.49 | Last score: 9.0
Run 1 | Ep 200 | Steps 2882/1000000 | Epsilon 0.47 | Last score: 14.0
Run 1 | Ep 300 | Steps 4226/1000000 | Epsilon 0.46 | Last score: 19.0
Run 1 | Ep 400 | Steps 5485/1000000 | Epsilon 0.45 | Last score: 12.0
Run 1 | Ep 500 | Steps 6712/1000000 | Epsilon 0.43 | Last score: 16.0
Run 1 | Ep 600 | Steps 7941/1000000 | Epsilon 0.42 | Last score: 15.0
Run 1 | Ep 700 | Steps 9252/1000000 | Epsilon 0.41 | Last score: 17.0
Run 1 | Ep 800 | Steps 10450/1000000 | Epsilon 0.40 | Last score: 10.0
Run 1 | Ep 900 | Steps 11653/1000000 | Epsilon 0.39 | Last score: 12.0
Run 1 | Ep 1000 | Steps 12878/1000000 | Epsilon 0.37 | Last score: 11.0
Run 1 | Ep 1100 | Steps 14080/1000000 | Epsilon 0.36 | Last score: 22.0
Run 1 | Ep 1200 | Steps 15247/1000000 | Epsilon 0.35 | Last score: 10.0
Run 1 | Ep 1300 | Steps 16417/1000000 | Epsilon 0.34 | Last score: 10.0
Run 1 | Ep 1400 | Steps 17675/1000000 | Epsilon 0.33 | Last score: 12.0
Run 1 | Ep 1500 | Steps 18876/1000000 | Epsilon 0.32 | Last score: 19.0
Run 1 | Ep 1600 | Steps 20054/1000000 | Epsilon 0.30 | Last score: 11.0
Run 1 | Ep 1700 | Steps 21167/1000000 | Epsilon 0.29 | Last score: 10.0
Run 1 | Ep 1800 | Steps 22327/1000000 | Epsilon 0.28 | Last score: 11.0
Run 1 | Ep 1900 | Steps 23445/1000000 | Epsilon 0.27 | Last score: 12.0
Run 1 | Ep 2000 | Steps 24521/1000000 | Epsilon 0.26 | Last score: 8.0
Run 1 | Ep 2100 | Steps 25612/1000000 | Epsilon 0.25 | Last score: 12.0
Run 1 | Ep 2200 | Steps 26695/1000000 | Epsilon 0.24 | Last score: 10.0
Run 1 | Ep 2300 | Steps 27747/1000000 | Epsilon 0.23 | Last score: 12.0
Run 1 | Ep 2400 | Steps 28850/1000000 | Epsilon 0.22 | Last score: 8.0
Run 1 | Ep 2500 | Steps 29899/1000000 | Epsilon 0.21 | Last score: 10.0
Run 1 | Ep 2600 | Steps 30981/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 2700 | Steps 32020/1000000 | Epsilon 0.19 | Last score: 11.0
Run 1 | Ep 2800 | Steps 33069/1000000 | Epsilon 0.18 | Last score: 10.0
Run 1 | Ep 2900 | Steps 34092/1000000 | Epsilon 0.17 | Last score: 9.0
Run 1 | Ep 3000 | Steps 35122/1000000 | Epsilon 0.16 | Last score: 8.0
Run 1 | Ep 3100 | Steps 36132/1000000 | Epsilon 0.15 | Last score: 8.0
Run 1 | Ep 3200 | Steps 37143/1000000 | Epsilon 0.14 | Last score: 10.0
Run 1 | Ep 3300 | Steps 38176/1000000 | Epsilon 0.13 | Last score: 13.0
Run 1 | Ep 3400 | Steps 39167/1000000 | Epsilon 0.12 | Last score: 9.0
Run 1 | Ep 3500 | Steps 40150/1000000 | Epsilon 0.11 | Last score: 12.0
Run 1 | Ep 3600 | Steps 41133/1000000 | Epsilon 0.10 | Last score: 10.0
Run 1 | Ep 3700 | Steps 42100/1000000 | Epsilon 0.09 | Last score: 8.0
Run 1 | Ep 3800 | Steps 43081/1000000 | Epsilon 0.08 | Last score: 9.0
Run 1 | Ep 3900 | Steps 44078/1000000 | Epsilon 0.07 | Last score: 9.0
Run 1 | Ep 4000 | Steps 45050/1000000 | Epsilon 0.06 | Last score: 9.0
Run 1 | Ep 4100 | Steps 45998/1000000 | Epsilon 0.05 | Last score: 10.0
Run 1 | Ep 4200 | Steps 46943/1000000 | Epsilon 0.04 | Last score: 9.0
Run 1 | Ep 4300 | Steps 47892/1000000 | Epsilon 0.03 | Last score: 9.0
Run 1 | Ep 4400 | Steps 48846/1000000 | Epsilon 0.02 | Last score: 9.0
Run 1 | Ep 4500 | Steps 49790/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 4600 | Steps 50731/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 4700 | Steps 51683/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 4800 | Steps 52612/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 4900 | Steps 53570/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 5000 | Steps 54502/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 5100 | Steps 55450/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 5200 | Steps 56389/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 5300 | Steps 57328/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 5400 | Steps 58281/1000000 | Epsilon 0.01 | Last score: 10.0
