03-31 05:12:40: Training starting...

Starting run 1/5.
Run 1 | Ep 100 | Steps 2236/1000000 | Epsilon 0.99 | Last score: 30.0
Run 1 | Ep 200 | Steps 4590/1000000 | Epsilon 0.98 | Last score: 17.0
Run 1 | Ep 300 | Steps 6879/1000000 | Epsilon 0.97 | Last score: 28.0
Run 1 | Ep 400 | Steps 9001/1000000 | Epsilon 0.96 | Last score: 22.0
Run 1 | Ep 500 | Steps 11097/1000000 | Epsilon 0.95 | Last score: 24.0
Run 1 | Ep 600 | Steps 13185/1000000 | Epsilon 0.93 | Last score: 13.0
Run 1 | Ep 700 | Steps 15326/1000000 | Epsilon 0.92 | Last score: 11.0
Run 1 | Ep 800 | Steps 17387/1000000 | Epsilon 0.91 | Last score: 31.0
Run 1 | Ep 900 | Steps 19539/1000000 | Epsilon 0.90 | Last score: 32.0
Run 1 | Ep 1000 | Steps 21571/1000000 | Epsilon 0.89 | Last score: 19.0
Run 1 | Ep 1100 | Steps 23672/1000000 | Epsilon 0.88 | Last score: 55.0
Run 1 | Ep 1200 | Steps 25750/1000000 | Epsilon 0.87 | Last score: 15.0
Run 1 | Ep 1300 | Steps 27891/1000000 | Epsilon 0.86 | Last score: 21.0
Run 1 | Ep 1400 | Steps 29992/1000000 | Epsilon 0.85 | Last score: 19.0
Run 1 | Ep 1500 | Steps 32093/1000000 | Epsilon 0.84 | Last score: 38.0
Run 1 | Ep 1600 | Steps 34105/1000000 | Epsilon 0.83 | Last score: 27.0
Run 1 | Ep 1700 | Steps 36178/1000000 | Epsilon 0.82 | Last score: 16.0
Run 1 | Ep 1800 | Steps 38089/1000000 | Epsilon 0.81 | Last score: 45.0
Run 1 | Ep 1900 | Steps 40028/1000000 | Epsilon 0.80 | Last score: 24.0
Run 1 | Ep 2000 | Steps 41953/1000000 | Epsilon 0.79 | Last score: 18.0
Run 1 | Ep 2100 | Steps 43824/1000000 | Epsilon 0.78 | Last score: 24.0
Run 1 | Ep 2200 | Steps 45781/1000000 | Epsilon 0.77 | Last score: 18.0
Run 1 | Ep 2300 | Steps 47813/1000000 | Epsilon 0.76 | Last score: 35.0
Run 1 | Ep 2400 | Steps 49715/1000000 | Epsilon 0.75 | Last score: 8.0
Run 1 | Ep 2500 | Steps 51625/1000000 | Epsilon 0.74 | Last score: 17.0
Run 1 | Ep 2600 | Steps 53421/1000000 | Epsilon 0.74 | Last score: 11.0
Run 1 | Ep 2700 | Steps 55228/1000000 | Epsilon 0.73 | Last score: 9.0
Run 1 | Ep 2800 | Steps 57080/1000000 | Epsilon 0.72 | Last score: 28.0
Run 1 | Ep 2900 | Steps 59035/1000000 | Epsilon 0.71 | Last score: 38.0
Run 1 | Ep 3000 | Steps 60671/1000000 | Epsilon 0.70 | Last score: 13.0
Run 1 | Ep 3100 | Steps 62424/1000000 | Epsilon 0.69 | Last score: 13.0
Run 1 | Ep 3200 | Steps 64163/1000000 | Epsilon 0.68 | Last score: 19.0
Run 1 | Ep 3300 | Steps 65768/1000000 | Epsilon 0.67 | Last score: 14.0
Run 1 | Ep 3400 | Steps 67513/1000000 | Epsilon 0.67 | Last score: 26.0
Run 1 | Ep 3500 | Steps 69285/1000000 | Epsilon 0.66 | Last score: 26.0
Run 1 | Ep 3600 | Steps 70810/1000000 | Epsilon 0.65 | Last score: 14.0
Run 1 | Ep 3700 | Steps 72483/1000000 | Epsilon 0.64 | Last score: 13.0
Run 1 | Ep 3800 | Steps 74118/1000000 | Epsilon 0.63 | Last score: 12.0
Run 1 | Ep 3900 | Steps 75633/1000000 | Epsilon 0.63 | Last score: 14.0
Run 1 | Ep 4000 | Steps 77348/1000000 | Epsilon 0.62 | Last score: 36.0
Run 1 | Ep 4100 | Steps 78850/1000000 | Epsilon 0.61 | Last score: 13.0
Run 1 | Ep 4200 | Steps 80423/1000000 | Epsilon 0.60 | Last score: 16.0
Run 1 | Ep 4300 | Steps 81998/1000000 | Epsilon 0.59 | Last score: 12.0
Run 1 | Ep 4400 | Steps 83516/1000000 | Epsilon 0.59 | Last score: 13.0
Run 1 | Ep 4500 | Steps 84952/1000000 | Epsilon 0.58 | Last score: 14.0
Run 1 | Ep 4600 | Steps 86623/1000000 | Epsilon 0.57 | Last score: 11.0
Run 1 | Ep 4700 | Steps 88046/1000000 | Epsilon 0.56 | Last score: 12.0
Run 1 | Ep 4800 | Steps 89458/1000000 | Epsilon 0.56 | Last score: 10.0
Run 1 | Ep 4900 | Steps 90949/1000000 | Epsilon 0.55 | Last score: 10.0
Run 1 | Ep 5000 | Steps 92379/1000000 | Epsilon 0.54 | Last score: 13.0
Run 1 | Ep 5100 | Steps 93798/1000000 | Epsilon 0.54 | Last score: 13.0
Run 1 | Ep 5200 | Steps 95125/1000000 | Epsilon 0.53 | Last score: 11.0
Run 1 | Ep 5300 | Steps 96543/1000000 | Epsilon 0.52 | Last score: 17.0
Run 1 | Ep 5400 | Steps 97931/1000000 | Epsilon 0.52 | Last score: 10.0
Run 1 | Ep 5500 | Steps 99327/1000000 | Epsilon 0.51 | Last score: 14.0
Run 1 | Ep 5600 | Steps 100663/1000000 | Epsilon 0.50 | Last score: 27.0
Run 1 | Ep 5700 | Steps 102056/1000000 | Epsilon 0.49 | Last score: 17.0
Run 1 | Ep 5800 | Steps 103481/1000000 | Epsilon 0.49 | Last score: 10.0
Run 1 | Ep 5900 | Steps 104807/1000000 | Epsilon 0.48 | Last score: 12.0
Run 1 | Ep 6000 | Steps 106136/1000000 | Epsilon 0.47 | Last score: 12.0
Run 1 | Ep 6100 | Steps 107481/1000000 | Epsilon 0.47 | Last score: 10.0
Run 1 | Ep 6200 | Steps 108814/1000000 | Epsilon 0.46 | Last score: 11.0
Run 1 | Ep 6300 | Steps 110121/1000000 | Epsilon 0.45 | Last score: 11.0
Run 1 | Ep 6400 | Steps 111491/1000000 | Epsilon 0.45 | Last score: 15.0
Run 1 | Ep 6500 | Steps 112766/1000000 | Epsilon 0.44 | Last score: 11.0
Run 1 | Ep 6600 | Steps 114068/1000000 | Epsilon 0.44 | Last score: 12.0
Run 1 | Ep 6700 | Steps 115347/1000000 | Epsilon 0.43 | Last score: 12.0
Run 1 | Ep 6800 | Steps 116629/1000000 | Epsilon 0.42 | Last score: 16.0
Run 1 | Ep 6900 | Steps 117854/1000000 | Epsilon 0.42 | Last score: 11.0
Run 1 | Ep 7000 | Steps 119094/1000000 | Epsilon 0.41 | Last score: 15.0
Run 1 | Ep 7100 | Steps 120317/1000000 | Epsilon 0.40 | Last score: 15.0
Run 1 | Ep 7200 | Steps 121506/1000000 | Epsilon 0.40 | Last score: 11.0
Run 1 | Ep 7300 | Steps 122748/1000000 | Epsilon 0.39 | Last score: 10.0
Run 1 | Ep 7400 | Steps 123986/1000000 | Epsilon 0.39 | Last score: 12.0
Run 1 | Ep 7500 | Steps 125178/1000000 | Epsilon 0.38 | Last score: 8.0
Run 1 | Ep 7600 | Steps 126404/1000000 | Epsilon 0.37 | Last score: 16.0
Run 1 | Ep 7700 | Steps 127552/1000000 | Epsilon 0.37 | Last score: 12.0
Run 1 | Ep 7800 | Steps 128767/1000000 | Epsilon 0.36 | Last score: 10.0
Run 1 | Ep 7900 | Steps 129983/1000000 | Epsilon 0.36 | Last score: 12.0
Run 1 | Ep 8000 | Steps 131163/1000000 | Epsilon 0.35 | Last score: 14.0
Run 1 | Ep 8100 | Steps 132360/1000000 | Epsilon 0.34 | Last score: 9.0
Run 1 | Ep 8200 | Steps 133525/1000000 | Epsilon 0.34 | Last score: 8.0
Run 1 | Ep 8300 | Steps 134704/1000000 | Epsilon 0.33 | Last score: 12.0
Run 1 | Ep 8400 | Steps 135906/1000000 | Epsilon 0.33 | Last score: 9.0
Run 1 | Ep 8500 | Steps 137069/1000000 | Epsilon 0.32 | Last score: 10.0
Run 1 | Ep 8600 | Steps 138209/1000000 | Epsilon 0.32 | Last score: 13.0
Run 1 | Ep 8700 | Steps 139394/1000000 | Epsilon 0.31 | Last score: 10.0
Run 1 | Ep 8800 | Steps 140508/1000000 | Epsilon 0.30 | Last score: 13.0
Run 1 | Ep 8900 | Steps 141635/1000000 | Epsilon 0.30 | Last score: 11.0
Run 1 | Ep 9000 | Steps 142798/1000000 | Epsilon 0.29 | Last score: 9.0
Run 1 | Ep 9100 | Steps 143902/1000000 | Epsilon 0.29 | Last score: 8.0
Run 1 | Ep 9200 | Steps 145043/1000000 | Epsilon 0.28 | Last score: 10.0
Run 1 | Ep 9300 | Steps 146194/1000000 | Epsilon 0.28 | Last score: 15.0
Run 1 | Ep 9400 | Steps 147312/1000000 | Epsilon 0.27 | Last score: 17.0
Run 1 | Ep 9500 | Steps 148381/1000000 | Epsilon 0.27 | Last score: 9.0
Run 1 | Ep 9600 | Steps 149502/1000000 | Epsilon 0.26 | Last score: 10.0
Run 1 | Ep 9700 | Steps 150612/1000000 | Epsilon 0.25 | Last score: 11.0
Run 1 | Ep 9800 | Steps 151708/1000000 | Epsilon 0.25 | Last score: 17.0
Run 1 | Ep 9900 | Steps 152794/1000000 | Epsilon 0.24 | Last score: 13.0
Run 1 | Ep 10000 | Steps 153882/1000000 | Epsilon 0.24 | Last score: 11.0
Run 1 | Ep 10100 | Steps 154933/1000000 | Epsilon 0.23 | Last score: 10.0
Run 1 | Ep 10200 | Steps 156032/1000000 | Epsilon 0.23 | Last score: 14.0
Run 1 | Ep 10300 | Steps 157125/1000000 | Epsilon 0.22 | Last score: 9.0
Run 1 | Ep 10400 | Steps 158167/1000000 | Epsilon 0.22 | Last score: 9.0
Run 1 | Ep 10500 | Steps 159213/1000000 | Epsilon 0.21 | Last score: 10.0
Run 1 | Ep 10600 | Steps 160296/1000000 | Epsilon 0.21 | Last score: 12.0
Run 1 | Ep 10700 | Steps 161378/1000000 | Epsilon 0.20 | Last score: 21.0
Run 1 | Ep 10800 | Steps 162459/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 10900 | Steps 163485/1000000 | Epsilon 0.19 | Last score: 9.0
Run 1 | Ep 11000 | Steps 164525/1000000 | Epsilon 0.19 | Last score: 10.0
Run 1 | Ep 11100 | Steps 165568/1000000 | Epsilon 0.18 | Last score: 10.0
Run 1 | Ep 11200 | Steps 166589/1000000 | Epsilon 0.18 | Last score: 9.0
Run 1 | Ep 11300 | Steps 167604/1000000 | Epsilon 0.17 | Last score: 10.0
Run 1 | Ep 11400 | Steps 168614/1000000 | Epsilon 0.17 | Last score: 9.0
Run 1 | Ep 11500 | Steps 169638/1000000 | Epsilon 0.16 | Last score: 14.0
Run 1 | Ep 11600 | Steps 170652/1000000 | Epsilon 0.16 | Last score: 14.0
Run 1 | Ep 11700 | Steps 171662/1000000 | Epsilon 0.15 | Last score: 10.0
Run 1 | Ep 11800 | Steps 172678/1000000 | Epsilon 0.15 | Last score: 14.0
Run 1 | Ep 11900 | Steps 173695/1000000 | Epsilon 0.14 | Last score: 10.0
Run 1 | Ep 12000 | Steps 174705/1000000 | Epsilon 0.14 | Last score: 10.0
Run 1 | Ep 12100 | Steps 175719/1000000 | Epsilon 0.13 | Last score: 11.0
Run 1 | Ep 12200 | Steps 176751/1000000 | Epsilon 0.13 | Last score: 11.0
Run 1 | Ep 12300 | Steps 177746/1000000 | Epsilon 0.12 | Last score: 9.0
Run 1 | Ep 12400 | Steps 178742/1000000 | Epsilon 0.12 | Last score: 10.0
Run 1 | Ep 12500 | Steps 179744/1000000 | Epsilon 0.11 | Last score: 9.0
Run 1 | Ep 12600 | Steps 180757/1000000 | Epsilon 0.11 | Last score: 10.0
Run 1 | Ep 12700 | Steps 181732/1000000 | Epsilon 0.10 | Last score: 10.0
Run 1 | Ep 12800 | Steps 182707/1000000 | Epsilon 0.10 | Last score: 10.0
Run 1 | Ep 12900 | Steps 183676/1000000 | Epsilon 0.09 | Last score: 9.0
Run 1 | Ep 13000 | Steps 184664/1000000 | Epsilon 0.09 | Last score: 10.0
Run 1 | Ep 13100 | Steps 185633/1000000 | Epsilon 0.08 | Last score: 10.0
Run 1 | Ep 13200 | Steps 186580/1000000 | Epsilon 0.08 | Last score: 10.0
Run 1 | Ep 13300 | Steps 187559/1000000 | Epsilon 0.07 | Last score: 9.0
Run 1 | Ep 13400 | Steps 188529/1000000 | Epsilon 0.07 | Last score: 9.0
