03-31 04:28:42: Training starting...

Starting run 1/5.
Run 1 | Ep 100 | Steps 1952/1000000 | Epsilon 0.99 | Last score: 21.0
Run 1 | Ep 200 | Steps 4221/1000000 | Epsilon 0.98 | Last score: 13.0
Run 1 | Ep 300 | Steps 6389/1000000 | Epsilon 0.97 | Last score: 16.0
Run 1 | Ep 400 | Steps 8575/1000000 | Epsilon 0.96 | Last score: 42.0
Run 1 | Ep 500 | Steps 10753/1000000 | Epsilon 0.95 | Last score: 13.0
Run 1 | Ep 600 | Steps 13148/1000000 | Epsilon 0.93 | Last score: 51.0
Run 1 | Ep 700 | Steps 15207/1000000 | Epsilon 0.92 | Last score: 32.0
Run 1 | Ep 800 | Steps 17343/1000000 | Epsilon 0.91 | Last score: 10.0
Run 1 | Ep 900 | Steps 19511/1000000 | Epsilon 0.90 | Last score: 17.0
Run 1 | Ep 1000 | Steps 21727/1000000 | Epsilon 0.89 | Last score: 41.0
Run 1 | Ep 1100 | Steps 23714/1000000 | Epsilon 0.88 | Last score: 26.0
Run 1 | Ep 1200 | Steps 25935/1000000 | Epsilon 0.87 | Last score: 11.0
Run 1 | Ep 1300 | Steps 27911/1000000 | Epsilon 0.86 | Last score: 20.0
Run 1 | Ep 1400 | Steps 30202/1000000 | Epsilon 0.85 | Last score: 26.0
Run 1 | Ep 1500 | Steps 32237/1000000 | Epsilon 0.84 | Last score: 14.0
Run 1 | Ep 1600 | Steps 34226/1000000 | Epsilon 0.83 | Last score: 13.0
Run 1 | Ep 1700 | Steps 36290/1000000 | Epsilon 0.82 | Last score: 14.0
Run 1 | Ep 1800 | Steps 38370/1000000 | Epsilon 0.81 | Last score: 11.0
Run 1 | Ep 1900 | Steps 40327/1000000 | Epsilon 0.80 | Last score: 15.0
Run 1 | Ep 2000 | Steps 42074/1000000 | Epsilon 0.79 | Last score: 21.0
Run 1 | Ep 2100 | Steps 44059/1000000 | Epsilon 0.78 | Last score: 28.0
Run 1 | Ep 2200 | Steps 45910/1000000 | Epsilon 0.77 | Last score: 25.0
