03-31 04:14:52: Training starting...

Starting run 1/5.
Run 1 | Ep 100 | Steps 2151/1000000 | Epsilon 0.99 | Last score: 12.0
Run 1 | Ep 200 | Steps 4447/1000000 | Epsilon 0.98 | Last score: 33.0
Run 1 | Ep 300 | Steps 6659/1000000 | Epsilon 0.97 | Last score: 16.0
Run 1 | Ep 400 | Steps 8983/1000000 | Epsilon 0.96 | Last score: 10.0
Run 1 | Ep 500 | Steps 11174/1000000 | Epsilon 0.94 | Last score: 11.0
Run 1 | Ep 600 | Steps 13324/1000000 | Epsilon 0.93 | Last score: 13.0
Run 1 | Ep 700 | Steps 15387/1000000 | Epsilon 0.92 | Last score: 20.0
Run 1 | Ep 800 | Steps 17844/1000000 | Epsilon 0.91 | Last score: 58.0
Run 1 | Ep 900 | Steps 19996/1000000 | Epsilon 0.90 | Last score: 52.0
Run 1 | Ep 1000 | Steps 22109/1000000 | Epsilon 0.89 | Last score: 28.0
Run 1 | Ep 1100 | Steps 24220/1000000 | Epsilon 0.88 | Last score: 16.0
Run 1 | Ep 1200 | Steps 26412/1000000 | Epsilon 0.87 | Last score: 13.0
Run 1 | Ep 1300 | Steps 28537/1000000 | Epsilon 0.86 | Last score: 31.0
Run 1 | Ep 1400 | Steps 30690/1000000 | Epsilon 0.85 | Last score: 13.0
Run 1 | Ep 1500 | Steps 32760/1000000 | Epsilon 0.84 | Last score: 22.0
Run 1 | Ep 1600 | Steps 34777/1000000 | Epsilon 0.83 | Last score: 10.0
Run 1 | Ep 1700 | Steps 36699/1000000 | Epsilon 0.82 | Last score: 11.0
Run 1 | Ep 1800 | Steps 38740/1000000 | Epsilon 0.81 | Last score: 14.0
Run 1 | Ep 1900 | Steps 40496/1000000 | Epsilon 0.80 | Last score: 28.0
Run 1 | Ep 2000 | Steps 42607/1000000 | Epsilon 0.79 | Last score: 28.0
Run 1 | Ep 2100 | Steps 44611/1000000 | Epsilon 0.78 | Last score: 21.0
Run 1 | Ep 2200 | Steps 46538/1000000 | Epsilon 0.77 | Last score: 18.0
Run 1 | Ep 2300 | Steps 48376/1000000 | Epsilon 0.76 | Last score: 12.0
Run 1 | Ep 2400 | Steps 50239/1000000 | Epsilon 0.75 | Last score: 9.0
Run 1 | Ep 2500 | Steps 52163/1000000 | Epsilon 0.74 | Last score: 15.0
Run 1 | Ep 2600 | Steps 53897/1000000 | Epsilon 0.73 | Last score: 19.0
Run 1 | Ep 2700 | Steps 55552/1000000 | Epsilon 0.73 | Last score: 23.0
Run 1 | Ep 2800 | Steps 57342/1000000 | Epsilon 0.72 | Last score: 11.0
Run 1 | Ep 2900 | Steps 59129/1000000 | Epsilon 0.71 | Last score: 14.0
Run 1 | Ep 3000 | Steps 60878/1000000 | Epsilon 0.70 | Last score: 11.0
Run 1 | Ep 3100 | Steps 62551/1000000 | Epsilon 0.69 | Last score: 17.0
Run 1 | Ep 3200 | Steps 64243/1000000 | Epsilon 0.68 | Last score: 19.0
Run 1 | Ep 3300 | Steps 65938/1000000 | Epsilon 0.67 | Last score: 17.0
Run 1 | Ep 3400 | Steps 67641/1000000 | Epsilon 0.67 | Last score: 14.0
Run 1 | Ep 3500 | Steps 69295/1000000 | Epsilon 0.66 | Last score: 12.0
Run 1 | Ep 3600 | Steps 70938/1000000 | Epsilon 0.65 | Last score: 15.0
Run 1 | Ep 3700 | Steps 72479/1000000 | Epsilon 0.64 | Last score: 14.0
Run 1 | Ep 3800 | Steps 74115/1000000 | Epsilon 0.63 | Last score: 12.0
Run 1 | Ep 3900 | Steps 75763/1000000 | Epsilon 0.62 | Last score: 13.0
Run 1 | Ep 4000 | Steps 77392/1000000 | Epsilon 0.62 | Last score: 20.0
Run 1 | Ep 4100 | Steps 79044/1000000 | Epsilon 0.61 | Last score: 18.0
Run 1 | Ep 4200 | Steps 80561/1000000 | Epsilon 0.60 | Last score: 10.0
Run 1 | Ep 4300 | Steps 82005/1000000 | Epsilon 0.59 | Last score: 13.0
Run 1 | Ep 4400 | Steps 83519/1000000 | Epsilon 0.59 | Last score: 8.0
Run 1 | Ep 4500 | Steps 85048/1000000 | Epsilon 0.58 | Last score: 16.0
Run 1 | Ep 4600 | Steps 86533/1000000 | Epsilon 0.57 | Last score: 17.0
Run 1 | Ep 4700 | Steps 87974/1000000 | Epsilon 0.56 | Last score: 10.0
Run 1 | Ep 4800 | Steps 89389/1000000 | Epsilon 0.56 | Last score: 14.0
Run 1 | Ep 4900 | Steps 90906/1000000 | Epsilon 0.55 | Last score: 18.0
Run 1 | Ep 5000 | Steps 92334/1000000 | Epsilon 0.54 | Last score: 20.0
Run 1 | Ep 5100 | Steps 93743/1000000 | Epsilon 0.54 | Last score: 41.0
Run 1 | Ep 5200 | Steps 95105/1000000 | Epsilon 0.53 | Last score: 11.0
Run 1 | Ep 5300 | Steps 96542/1000000 | Epsilon 0.52 | Last score: 14.0
Run 1 | Ep 5400 | Steps 97941/1000000 | Epsilon 0.52 | Last score: 15.0
Run 1 | Ep 5500 | Steps 99374/1000000 | Epsilon 0.51 | Last score: 13.0
Run 1 | Ep 5600 | Steps 100762/1000000 | Epsilon 0.50 | Last score: 10.0
Run 1 | Ep 5700 | Steps 102218/1000000 | Epsilon 0.49 | Last score: 10.0
Run 1 | Ep 5800 | Steps 103643/1000000 | Epsilon 0.49 | Last score: 12.0
Run 1 | Ep 5900 | Steps 104929/1000000 | Epsilon 0.48 | Last score: 10.0
Run 1 | Ep 6000 | Steps 106289/1000000 | Epsilon 0.47 | Last score: 14.0
Run 1 | Ep 6100 | Steps 107683/1000000 | Epsilon 0.47 | Last score: 16.0
Run 1 | Ep 6200 | Steps 109048/1000000 | Epsilon 0.46 | Last score: 15.0
Run 1 | Ep 6300 | Steps 110354/1000000 | Epsilon 0.45 | Last score: 22.0
Run 1 | Ep 6400 | Steps 111603/1000000 | Epsilon 0.45 | Last score: 14.0
