03-31 04:00:55: Training starting...

Starting run 1/5.
Run 1 | Ep 100 | Steps 2259/1000000 | Epsilon 0.99 | Last score: 39.0
Run 1 | Ep 200 | Steps 4577/1000000 | Epsilon 0.98 | Last score: 26.0
Run 1 | Ep 300 | Steps 6868/1000000 | Epsilon 0.97 | Last score: 12.0
Run 1 | Ep 400 | Steps 8912/1000000 | Epsilon 0.96 | Last score: 34.0
Run 1 | Ep 500 | Steps 11073/1000000 | Epsilon 0.95 | Last score: 23.0
Run 1 | Ep 600 | Steps 13272/1000000 | Epsilon 0.93 | Last score: 33.0
Run 1 | Ep 700 | Steps 15368/1000000 | Epsilon 0.92 | Last score: 25.0
Run 1 | Ep 800 | Steps 17445/1000000 | Epsilon 0.91 | Last score: 12.0
Run 1 | Ep 900 | Steps 19600/1000000 | Epsilon 0.90 | Last score: 17.0
Run 1 | Ep 1000 | Steps 21957/1000000 | Epsilon 0.89 | Last score: 12.0
Run 1 | Ep 1100 | Steps 23953/1000000 | Epsilon 0.88 | Last score: 17.0
Run 1 | Ep 1200 | Steps 26139/1000000 | Epsilon 0.87 | Last score: 29.0
Run 1 | Ep 1300 | Steps 28234/1000000 | Epsilon 0.86 | Last score: 27.0
Run 1 | Ep 1400 | Steps 30239/1000000 | Epsilon 0.85 | Last score: 31.0
Run 1 | Ep 1500 | Steps 32360/1000000 | Epsilon 0.84 | Last score: 25.0
Run 1 | Ep 1600 | Steps 34376/1000000 | Epsilon 0.83 | Last score: 12.0
Run 1 | Ep 1700 | Steps 36373/1000000 | Epsilon 0.82 | Last score: 32.0
Run 1 | Ep 1800 | Steps 38528/1000000 | Epsilon 0.81 | Last score: 22.0
Run 1 | Ep 1900 | Steps 40623/1000000 | Epsilon 0.80 | Last score: 22.0
Run 1 | Ep 2000 | Steps 42402/1000000 | Epsilon 0.79 | Last score: 11.0
Run 1 | Ep 2100 | Steps 44217/1000000 | Epsilon 0.78 | Last score: 20.0
Run 1 | Ep 2200 | Steps 46293/1000000 | Epsilon 0.77 | Last score: 18.0
Run 1 | Ep 2300 | Steps 48145/1000000 | Epsilon 0.76 | Last score: 12.0
Run 1 | Ep 2400 | Steps 49932/1000000 | Epsilon 0.75 | Last score: 37.0
Run 1 | Ep 2500 | Steps 51745/1000000 | Epsilon 0.74 | Last score: 26.0
Run 1 | Ep 2600 | Steps 53463/1000000 | Epsilon 0.74 | Last score: 10.0
Run 1 | Ep 2700 | Steps 55274/1000000 | Epsilon 0.73 | Last score: 15.0
Run 1 | Ep 2800 | Steps 57042/1000000 | Epsilon 0.72 | Last score: 12.0
Run 1 | Ep 2900 | Steps 58739/1000000 | Epsilon 0.71 | Last score: 11.0
Run 1 | Ep 3000 | Steps 60582/1000000 | Epsilon 0.70 | Last score: 10.0
Run 1 | Ep 3100 | Steps 62305/1000000 | Epsilon 0.69 | Last score: 13.0
Run 1 | Ep 3200 | Steps 64037/1000000 | Epsilon 0.68 | Last score: 21.0
Run 1 | Ep 3300 | Steps 65787/1000000 | Epsilon 0.67 | Last score: 12.0
Run 1 | Ep 3400 | Steps 67633/1000000 | Epsilon 0.67 | Last score: 19.0
Run 1 | Ep 3500 | Steps 69297/1000000 | Epsilon 0.66 | Last score: 37.0
Run 1 | Ep 3600 | Steps 70895/1000000 | Epsilon 0.65 | Last score: 13.0
Run 1 | Ep 3700 | Steps 72550/1000000 | Epsilon 0.64 | Last score: 19.0
Run 1 | Ep 3800 | Steps 74130/1000000 | Epsilon 0.63 | Last score: 16.0
Run 1 | Ep 3900 | Steps 75712/1000000 | Epsilon 0.63 | Last score: 13.0
Run 1 | Ep 4000 | Steps 77318/1000000 | Epsilon 0.62 | Last score: 23.0
Run 1 | Ep 4100 | Steps 78963/1000000 | Epsilon 0.61 | Last score: 21.0
Run 1 | Ep 4200 | Steps 80444/1000000 | Epsilon 0.60 | Last score: 19.0
Run 1 | Ep 4300 | Steps 81969/1000000 | Epsilon 0.59 | Last score: 13.0
Run 1 | Ep 4400 | Steps 83530/1000000 | Epsilon 0.59 | Last score: 13.0
Run 1 | Ep 4500 | Steps 85011/1000000 | Epsilon 0.58 | Last score: 18.0
Run 1 | Ep 4600 | Steps 86583/1000000 | Epsilon 0.57 | Last score: 13.0
Run 1 | Ep 4700 | Steps 88103/1000000 | Epsilon 0.56 | Last score: 14.0
Run 1 | Ep 4800 | Steps 89456/1000000 | Epsilon 0.56 | Last score: 9.0
Run 1 | Ep 4900 | Steps 90932/1000000 | Epsilon 0.55 | Last score: 15.0
Run 1 | Ep 5000 | Steps 92421/1000000 | Epsilon 0.54 | Last score: 12.0
Run 1 | Ep 5100 | Steps 93869/1000000 | Epsilon 0.54 | Last score: 18.0
Run 1 | Ep 5200 | Steps 95225/1000000 | Epsilon 0.53 | Last score: 13.0
Run 1 | Ep 5300 | Steps 96613/1000000 | Epsilon 0.52 | Last score: 10.0
Run 1 | Ep 5400 | Steps 97979/1000000 | Epsilon 0.52 | Last score: 13.0
Run 1 | Ep 5500 | Steps 99379/1000000 | Epsilon 0.51 | Last score: 12.0
Run 1 | Ep 5600 | Steps 100758/1000000 | Epsilon 0.50 | Last score: 23.0
Run 1 | Ep 5700 | Steps 102127/1000000 | Epsilon 0.49 | Last score: 11.0
Run 1 | Ep 5800 | Steps 103491/1000000 | Epsilon 0.49 | Last score: 14.0
Run 1 | Ep 5900 | Steps 104835/1000000 | Epsilon 0.48 | Last score: 16.0
Run 1 | Ep 6000 | Steps 106130/1000000 | Epsilon 0.47 | Last score: 16.0
Run 1 | Ep 6100 | Steps 107453/1000000 | Epsilon 0.47 | Last score: 11.0
Run 1 | Ep 6200 | Steps 108785/1000000 | Epsilon 0.46 | Last score: 10.0
Run 1 | Ep 6300 | Steps 110080/1000000 | Epsilon 0.46 | Last score: 10.0
Run 1 | Ep 6400 | Steps 111383/1000000 | Epsilon 0.45 | Last score: 15.0
Run 1 | Ep 6500 | Steps 112683/1000000 | Epsilon 0.44 | Last score: 11.0
Run 1 | Ep 6600 | Steps 113914/1000000 | Epsilon 0.44 | Last score: 13.0
Run 1 | Ep 6700 | Steps 115206/1000000 | Epsilon 0.43 | Last score: 14.0
Run 1 | Ep 6800 | Steps 116461/1000000 | Epsilon 0.42 | Last score: 12.0
Run 1 | Ep 6900 | Steps 117727/1000000 | Epsilon 0.42 | Last score: 14.0
Run 1 | Ep 7000 | Steps 118983/1000000 | Epsilon 0.41 | Last score: 9.0
Run 1 | Ep 7100 | Steps 120240/1000000 | Epsilon 0.40 | Last score: 10.0
Run 1 | Ep 7200 | Steps 121459/1000000 | Epsilon 0.40 | Last score: 10.0
Run 1 | Ep 7300 | Steps 122684/1000000 | Epsilon 0.39 | Last score: 9.0
Run 1 | Ep 7400 | Steps 123896/1000000 | Epsilon 0.39 | Last score: 13.0
Run 1 | Ep 7500 | Steps 125081/1000000 | Epsilon 0.38 | Last score: 8.0
Run 1 | Ep 7600 | Steps 126293/1000000 | Epsilon 0.37 | Last score: 12.0
Run 1 | Ep 7700 | Steps 127500/1000000 | Epsilon 0.37 | Last score: 11.0
Run 1 | Ep 7800 | Steps 128689/1000000 | Epsilon 0.36 | Last score: 9.0
Run 1 | Ep 7900 | Steps 129866/1000000 | Epsilon 0.36 | Last score: 9.0
Run 1 | Ep 8000 | Steps 131036/1000000 | Epsilon 0.35 | Last score: 22.0
Run 1 | Ep 8100 | Steps 132254/1000000 | Epsilon 0.35 | Last score: 10.0
Run 1 | Ep 8200 | Steps 133380/1000000 | Epsilon 0.34 | Last score: 9.0
Run 1 | Ep 8300 | Steps 134483/1000000 | Epsilon 0.33 | Last score: 10.0
Run 1 | Ep 8400 | Steps 135615/1000000 | Epsilon 0.33 | Last score: 16.0
Run 1 | Ep 8500 | Steps 136751/1000000 | Epsilon 0.32 | Last score: 12.0
Run 1 | Ep 8600 | Steps 137924/1000000 | Epsilon 0.32 | Last score: 9.0
Run 1 | Ep 8700 | Steps 139064/1000000 | Epsilon 0.31 | Last score: 17.0
Run 1 | Ep 8800 | Steps 140191/1000000 | Epsilon 0.31 | Last score: 12.0
Run 1 | Ep 8900 | Steps 141291/1000000 | Epsilon 0.30 | Last score: 12.0
