03-31 05:35:24: Training starting...

Starting run 1/5.
Run 1 | Ep 100 | Steps 2174/1000000 | Epsilon 0.99 | Last score: 15.0
Run 1 | Ep 200 | Steps 4232/1000000 | Epsilon 0.98 | Last score: 11.0
Run 1 | Ep 300 | Steps 6529/1000000 | Epsilon 0.97 | Last score: 25.0
Run 1 | Ep 400 | Steps 8920/1000000 | Epsilon 0.96 | Last score: 21.0
Run 1 | Ep 500 | Steps 11087/1000000 | Epsilon 0.95 | Last score: 30.0
Run 1 | Ep 600 | Steps 13343/1000000 | Epsilon 0.93 | Last score: 11.0
Run 1 | Ep 700 | Steps 15387/1000000 | Epsilon 0.92 | Last score: 13.0
Run 1 | Ep 800 | Steps 17616/1000000 | Epsilon 0.91 | Last score: 16.0
Run 1 | Ep 900 | Steps 19666/1000000 | Epsilon 0.90 | Last score: 16.0
Run 1 | Ep 1000 | Steps 21744/1000000 | Epsilon 0.89 | Last score: 38.0
Run 1 | Ep 1100 | Steps 23952/1000000 | Epsilon 0.88 | Last score: 14.0
Run 1 | Ep 1200 | Steps 26124/1000000 | Epsilon 0.87 | Last score: 13.0
Run 1 | Ep 1300 | Steps 28026/1000000 | Epsilon 0.86 | Last score: 8.0
Run 1 | Ep 1400 | Steps 29990/1000000 | Epsilon 0.85 | Last score: 16.0
Run 1 | Ep 1500 | Steps 31999/1000000 | Epsilon 0.84 | Last score: 22.0
Run 1 | Ep 1600 | Steps 33998/1000000 | Epsilon 0.83 | Last score: 14.0
Run 1 | Ep 1700 | Steps 35985/1000000 | Epsilon 0.82 | Last score: 27.0
Run 1 | Ep 1800 | Steps 37927/1000000 | Epsilon 0.81 | Last score: 12.0
Run 1 | Ep 1900 | Steps 39828/1000000 | Epsilon 0.80 | Last score: 10.0
Run 1 | Ep 2000 | Steps 41810/1000000 | Epsilon 0.79 | Last score: 27.0
Run 1 | Ep 2100 | Steps 43776/1000000 | Epsilon 0.78 | Last score: 11.0
Run 1 | Ep 2200 | Steps 45874/1000000 | Epsilon 0.77 | Last score: 18.0
Run 1 | Ep 2300 | Steps 47677/1000000 | Epsilon 0.76 | Last score: 21.0
Run 1 | Ep 2400 | Steps 49573/1000000 | Epsilon 0.75 | Last score: 21.0
Run 1 | Ep 2500 | Steps 51354/1000000 | Epsilon 0.75 | Last score: 10.0
Run 1 | Ep 2600 | Steps 53196/1000000 | Epsilon 0.74 | Last score: 17.0
Run 1 | Ep 2700 | Steps 55079/1000000 | Epsilon 0.73 | Last score: 13.0
Run 1 | Ep 2800 | Steps 56935/1000000 | Epsilon 0.72 | Last score: 10.0
Run 1 | Ep 2900 | Steps 58823/1000000 | Epsilon 0.71 | Last score: 10.0
Run 1 | Ep 3000 | Steps 60527/1000000 | Epsilon 0.70 | Last score: 18.0
Run 1 | Ep 3100 | Steps 62217/1000000 | Epsilon 0.69 | Last score: 25.0
Run 1 | Ep 3200 | Steps 63949/1000000 | Epsilon 0.68 | Last score: 12.0
Run 1 | Ep 3300 | Steps 65593/1000000 | Epsilon 0.68 | Last score: 17.0
Run 1 | Ep 3400 | Steps 67356/1000000 | Epsilon 0.67 | Last score: 32.0
Run 1 | Ep 3500 | Steps 69025/1000000 | Epsilon 0.66 | Last score: 10.0
Run 1 | Ep 3600 | Steps 70591/1000000 | Epsilon 0.65 | Last score: 15.0
Run 1 | Ep 3700 | Steps 72203/1000000 | Epsilon 0.64 | Last score: 19.0
Run 1 | Ep 3800 | Steps 73817/1000000 | Epsilon 0.63 | Last score: 20.0
Run 1 | Ep 3900 | Steps 75395/1000000 | Epsilon 0.63 | Last score: 15.0
Run 1 | Ep 4000 | Steps 77038/1000000 | Epsilon 0.62 | Last score: 9.0
Run 1 | Ep 4100 | Steps 78589/1000000 | Epsilon 0.61 | Last score: 13.0
Run 1 | Ep 4200 | Steps 80197/1000000 | Epsilon 0.60 | Last score: 12.0
Run 1 | Ep 4300 | Steps 81728/1000000 | Epsilon 0.60 | Last score: 18.0
Run 1 | Ep 4400 | Steps 83294/1000000 | Epsilon 0.59 | Last score: 12.0
Run 1 | Ep 4500 | Steps 84866/1000000 | Epsilon 0.58 | Last score: 15.0
Run 1 | Ep 4600 | Steps 86465/1000000 | Epsilon 0.57 | Last score: 10.0
Run 1 | Ep 4700 | Steps 87873/1000000 | Epsilon 0.57 | Last score: 10.0
Run 1 | Ep 4800 | Steps 89281/1000000 | Epsilon 0.56 | Last score: 12.0
Run 1 | Ep 4900 | Steps 90725/1000000 | Epsilon 0.55 | Last score: 18.0
Run 1 | Ep 5000 | Steps 92133/1000000 | Epsilon 0.54 | Last score: 18.0
Run 1 | Ep 5100 | Steps 93593/1000000 | Epsilon 0.54 | Last score: 15.0
Run 1 | Ep 5200 | Steps 94901/1000000 | Epsilon 0.53 | Last score: 21.0
Run 1 | Ep 5300 | Steps 96242/1000000 | Epsilon 0.52 | Last score: 15.0
Run 1 | Ep 5400 | Steps 97635/1000000 | Epsilon 0.52 | Last score: 10.0
Run 1 | Ep 5500 | Steps 98976/1000000 | Epsilon 0.51 | Last score: 17.0
Run 1 | Ep 5600 | Steps 100435/1000000 | Epsilon 0.50 | Last score: 13.0
Run 1 | Ep 5700 | Steps 101805/1000000 | Epsilon 0.50 | Last score: 11.0
Run 1 | Ep 5800 | Steps 103135/1000000 | Epsilon 0.49 | Last score: 10.0
Run 1 | Ep 5900 | Steps 104533/1000000 | Epsilon 0.48 | Last score: 11.0
Run 1 | Ep 6000 | Steps 105939/1000000 | Epsilon 0.48 | Last score: 23.0
Run 1 | Ep 6100 | Steps 107245/1000000 | Epsilon 0.47 | Last score: 11.0
Run 1 | Ep 6200 | Steps 108621/1000000 | Epsilon 0.46 | Last score: 11.0
Run 1 | Ep 6300 | Steps 109953/1000000 | Epsilon 0.46 | Last score: 9.0
Run 1 | Ep 6400 | Steps 111220/1000000 | Epsilon 0.45 | Last score: 13.0
Run 1 | Ep 6500 | Steps 112449/1000000 | Epsilon 0.44 | Last score: 12.0
Run 1 | Ep 6600 | Steps 113726/1000000 | Epsilon 0.44 | Last score: 9.0
Run 1 | Ep 6700 | Steps 114996/1000000 | Epsilon 0.43 | Last score: 11.0
Run 1 | Ep 6800 | Steps 116298/1000000 | Epsilon 0.42 | Last score: 13.0
Run 1 | Ep 6900 | Steps 117584/1000000 | Epsilon 0.42 | Last score: 12.0
Run 1 | Ep 7000 | Steps 118821/1000000 | Epsilon 0.41 | Last score: 11.0
Run 1 | Ep 7100 | Steps 120044/1000000 | Epsilon 0.41 | Last score: 12.0
Run 1 | Ep 7200 | Steps 121304/1000000 | Epsilon 0.40 | Last score: 18.0
Run 1 | Ep 7300 | Steps 122555/1000000 | Epsilon 0.39 | Last score: 20.0
Run 1 | Ep 7400 | Steps 123739/1000000 | Epsilon 0.39 | Last score: 10.0
Run 1 | Ep 7500 | Steps 124919/1000000 | Epsilon 0.38 | Last score: 10.0
Run 1 | Ep 7600 | Steps 126083/1000000 | Epsilon 0.38 | Last score: 15.0
Run 1 | Ep 7700 | Steps 127324/1000000 | Epsilon 0.37 | Last score: 12.0
Run 1 | Ep 7800 | Steps 128535/1000000 | Epsilon 0.36 | Last score: 13.0
Run 1 | Ep 7900 | Steps 129707/1000000 | Epsilon 0.36 | Last score: 9.0
Run 1 | Ep 8000 | Steps 130883/1000000 | Epsilon 0.35 | Last score: 11.0
Run 1 | Ep 8100 | Steps 132025/1000000 | Epsilon 0.35 | Last score: 13.0
Run 1 | Ep 8200 | Steps 133196/1000000 | Epsilon 0.34 | Last score: 11.0
Run 1 | Ep 8300 | Steps 134351/1000000 | Epsilon 0.33 | Last score: 10.0
Run 1 | Ep 8400 | Steps 135507/1000000 | Epsilon 0.33 | Last score: 12.0
Run 1 | Ep 8500 | Steps 136701/1000000 | Epsilon 0.32 | Last score: 12.0
Run 1 | Ep 8600 | Steps 137854/1000000 | Epsilon 0.32 | Last score: 11.0
Run 1 | Ep 8700 | Steps 139011/1000000 | Epsilon 0.31 | Last score: 9.0
Run 1 | Ep 8800 | Steps 140163/1000000 | Epsilon 0.31 | Last score: 18.0
Run 1 | Ep 8900 | Steps 141326/1000000 | Epsilon 0.30 | Last score: 14.0
Run 1 | Ep 9000 | Steps 142497/1000000 | Epsilon 0.29 | Last score: 16.0
Run 1 | Ep 9100 | Steps 143617/1000000 | Epsilon 0.29 | Last score: 10.0
Run 1 | Ep 9200 | Steps 144773/1000000 | Epsilon 0.28 | Last score: 9.0
