03-31 05:21:31: Training starting...

Starting run 1/5.
Run 1 | Ep 100 | Steps 2342/1000000 | Epsilon 0.99 | Last score: 32.0
Run 1 | Ep 200 | Steps 4572/1000000 | Epsilon 0.98 | Last score: 20.0
Run 1 | Ep 300 | Steps 6995/1000000 | Epsilon 0.97 | Last score: 11.0
Run 1 | Ep 400 | Steps 9198/1000000 | Epsilon 0.95 | Last score: 11.0
Run 1 | Ep 500 | Steps 11379/1000000 | Epsilon 0.94 | Last score: 32.0
Run 1 | Ep 600 | Steps 13558/1000000 | Epsilon 0.93 | Last score: 18.0
Run 1 | Ep 700 | Steps 15771/1000000 | Epsilon 0.92 | Last score: 34.0
Run 1 | Ep 800 | Steps 18020/1000000 | Epsilon 0.91 | Last score: 36.0
Run 1 | Ep 900 | Steps 20046/1000000 | Epsilon 0.90 | Last score: 9.0
Run 1 | Ep 1000 | Steps 22203/1000000 | Epsilon 0.89 | Last score: 22.0
Run 1 | Ep 1100 | Steps 24315/1000000 | Epsilon 0.88 | Last score: 18.0
Run 1 | Ep 1200 | Steps 26288/1000000 | Epsilon 0.87 | Last score: 15.0
Run 1 | Ep 1300 | Steps 28285/1000000 | Epsilon 0.86 | Last score: 54.0
Run 1 | Ep 1400 | Steps 30338/1000000 | Epsilon 0.85 | Last score: 32.0
Run 1 | Ep 1500 | Steps 32436/1000000 | Epsilon 0.84 | Last score: 19.0
Run 1 | Ep 1600 | Steps 34543/1000000 | Epsilon 0.83 | Last score: 8.0
Run 1 | Ep 1700 | Steps 36761/1000000 | Epsilon 0.82 | Last score: 22.0
Run 1 | Ep 1800 | Steps 38819/1000000 | Epsilon 0.81 | Last score: 19.0
Run 1 | Ep 1900 | Steps 40682/1000000 | Epsilon 0.80 | Last score: 17.0
Run 1 | Ep 2000 | Steps 42640/1000000 | Epsilon 0.79 | Last score: 22.0
Run 1 | Ep 2100 | Steps 44618/1000000 | Epsilon 0.78 | Last score: 19.0
Run 1 | Ep 2200 | Steps 46382/1000000 | Epsilon 0.77 | Last score: 9.0
Run 1 | Ep 2300 | Steps 48133/1000000 | Epsilon 0.76 | Last score: 9.0
Run 1 | Ep 2400 | Steps 49850/1000000 | Epsilon 0.75 | Last score: 19.0
Run 1 | Ep 2500 | Steps 51731/1000000 | Epsilon 0.74 | Last score: 22.0
Run 1 | Ep 2600 | Steps 53641/1000000 | Epsilon 0.73 | Last score: 14.0
